"id","headline","link","date"
87,"Google turns to nuclear to power AI data centres","https://www.bbc.co.uk/news/articles/c20myx1erl6o","20016"
88,"Would Donald Trump’s taxes on trade hurt US consumers?","https://www.bbc.co.uk/news/articles/cwyv0ydp96po","20016"
89,"American equal pay icon Lilly Ledbetter dies aged 86","https://www.bbc.co.uk/news/videos/ce3zek7xqk4o","20016"
90,"Watch: Why is the latest SpaceX rocket test a big deal? Video, 00:01:55Watch: Why is the latest SpaceX rocket test a big deal?","https://www.bbc.co.uk/news/business-11428889","20016"
91,"Technology of Business","https://www.bbc.co.uk/news/topics/cj8k8ngevpgt","20016"
92,"CEO Secrets","https://www.bbc.co.uk/news/topics/ce1qrvleleqt","20016"
93,"Artificial intelligence","https://www.bbc.co.uk/news/topics/cgmlnmr3yjzt","20016"
94,"New Tech Economy","https://www.bbc.co.uk/news/topics/cq0jeeeqmndt","20016"
95,"Global cost of living","https://www.bbc.co.ukhttps://www.instagram.com/bbcnews/","20016"
96,"Instagram","https://www.bbc.co.ukhttps://www.tiktok.com/@bbcnews?lang=en","20016"
97,"TikTok","https://www.bbc.co.ukhttps://www.facebook.com/bbcnews","20016"
98,"Facebook","https://www.bbc.co.ukhttps://twitter.com/BBCNews","20016"
99,"China's economic slowdown deepens","https://www.bbc.co.uk/news/articles/cq5exj06vg6o","20016"
100,"Netflix raises prices as password boost fades","https://www.bbc.co.uk/news/articles/c20pvkg35xyo","20016"
101,"Alleged Bitcoin hacker searched 'signs the FBI is after you'","https://www.bbc.co.uk/news/articles/cvgdyzq3wz5o","20016"
102,"Meta fires staff for buying toothpaste, not lunch","https://www.bbc.co.uk/news/articles/c07nlvmyl05o","20016"
103,"US 'click to cancel' rule to ban subscription traps","https://www.bbc.co.uk/news/articles/cwy9l7k40kgo","20016"
104,"Boeing seeks up to $35bn as costly strike drags on","https://www.bbc.co.uk/news/articles/c3dv3l5pvy3o","20016"
105,"Lufthansa hit with record penalty after barring Jewish passengers","https://www.bbc.co.uk/news/articles/c748gn94k95o","20016"
106,"Google turns to nuclear to power AI data centres","https://www.bbc.co.uk/news/articles/c20myx1erl6o","20016"
107,"Would Donald Trump’s taxes on trade hurt US consumers?","https://www.bbc.co.uk/news/articles/cwyv0ydp96po","20016"
108,"American equal pay icon Lilly Ledbetter dies aged 86","https://www.bbc.co.uk/news/videos/ce3zek7xqk4o","20016"
109,"Watch: Why is the latest SpaceX rocket test a big deal? Video, 00:01:55Watch: Why is the latest SpaceX rocket test a big deal?","https://www.bbc.co.uk/news/business-11428889","20016"
110,"Technology of Business","https://www.bbc.co.uk/news/topics/cj8k8ngevpgt","20016"
111,"CEO Secrets","https://www.bbc.co.uk/news/topics/ce1qrvleleqt","20016"
112,"Artificial intelligence","https://www.bbc.co.uk/news/topics/cgmlnmr3yjzt","20016"
113,"New Tech Economy","https://www.bbc.co.uk/news/topics/cq0jeeeqmndt","20016"
114,"Global cost of living","https://www.bbc.co.ukhttps://www.instagram.com/bbcnews/","20016"
115,"Instagram","https://www.bbc.co.ukhttps://www.tiktok.com/@bbcnews?lang=en","20016"
116,"TikTok","https://www.bbc.co.ukhttps://www.facebook.com/bbcnews","20016"
117,"Facebook","https://www.bbc.co.ukhttps://twitter.com/BBCNews","20016"
